Pregunta,respuesta,Tema,Pers/empresa,Polarity,Nota,ambiguedad
"buenas tardes. una consulta por favor, si una persona ha trabajado en empresa privada 13 años y después 20 años en una dependencia publica con la modalidad régimen laboral, tiene derecho a la jubilación patronal",,Jubilacion Patronal,persona,0,,
buenas tardes...  quiero saber si prestan servicios en la ciudad de Guayaquil,,Contacto,,,,
Buenas tardes... una consulta... con referente a las provisiones de desahucio el diferido se lo carga al gasto o se lo aplica al impuesto a la renta....,,Renuncia/Despido/Desahucio,,,,
"Buenas tardes: Estamos interesados en contratar el servicio para el calculo autuarial, somos 16 empleados y estamos en Guayaquil. Ustedes podrán por favor cotizar?. Mi correo es jdiaz@electrolab.com.ec si necesitan alguna información adicional para hacer el presupuesto.",,Jubilacion Patronal,empresa,,,
"Buenas tardes? Cuál es el promedio de vida de una persona, para los cálculos actuariales??",,Jubilacion Patronal,persona,0,,
buenas trades una consulta quien calcula y quien paga la jubilacion patronal ,,Jubilacion Patronal,persona,0,,
"bueno días una consulta, en el caso de despido con 23 años de servicio la parte de los decimos también es proporcional.",,Renuncia/Despido/Desahucio,,,,
bueno muchas gracias,,Hi Five,,,,
Buenos  días soy docente tengo 56 y seis meses  de edad con 32 años de servicio dispongo de carnet de discapacidad psico social el porcentaje es del 71 por ciento. En el iess  me dijeron que si puedo jubilarme pero primero  debo renunciar a mi trabajo.  Acudí  al distrito y se me informó que pierdo el bono  decompensación  del ministerio de educación que otorga el gobierno.Ruego  despejar ésta  inquietud. Gracias muy amable.Mi nombre es Alba Hidalgo,,IESS,,,,
buenos dia,,Greeting,,0,,
Buenos dias,,Greeting,,,,
BUENOS DIAS,,Greeting,,,,
buenos dias,,Greeting,,,,
Buenos días,,Greeting,,0,,
buenos días,,Greeting,,,,
buenos días  cual seria el requisito para acceder a una jubilación ,,IESS,,,,ambivalente
buenos días  cual seria el requisito para acceder a una jubilación ,,Jubilacion Patronal,,,,ambivalente
"BUENOS DIAS 
COMO ME PUEDO 
CONTACTAR 
CON EL DEPARTAMENTO DE FACTURACION",,Facturacion/Retencion/Cobros,,,,
"buenos días 
necesito información",,Greeting,,,,
"Buenos dias 
Nesecito el calculo de renuncia por desaucio de mi trabajo 6 años 
Por favor",,Renuncia/Despido/Desahucio,,,,
"buenos dias 
por favor e pueden asesora si una persona que tiene 20 años de aportacion puede acogerse a la jubilacion patronal 
fue despedido intempestiva",,Jubilacion Patronal,,,,
Buenos dias aqui en guayaquil abra una oficina para consultas,,Contacto,,,,
Buenos dias ayudenme con una consulta la juvilacionpara una persona con discapacidad fisica es igual que los otros calculos tengo 30% EN EL CALCULO PARA LA JUBILACION DE LOS CINCO MEJORES AÑOS INCLUYEN LAS HORAS EXTRAS,,IESS,,,,
"Buenos dias como esta, Q debo hacer para ganar una entrevista de trabajo","Buenos días 
por favor enviar su CV al siguiente correo: seleccion@actuaria.com.ec 
gracias por escribirnos",trabaje con nosotros,persona,0,,
Buenos días cómo puedo hacer una consulta con respecto a la jubilación patronal trabaje 28 años para una empresa y hasta la fecha no me ha si do cancelada ni la liquidación ni tampoco la jubilación patronal si me pudieran indicar que debo hacer les quedo agradecida,,Jubilacion Patronal,,,,
buenos dias cual seria el costo del estudio para una empresa y persona  obligada llevar contablidad,"Buenos días 
me ayuda con los siguientes datos por favor: ruc, nombre empresa, contacto, cargo, correo y teléfonos ",Jubilacion Patronal,empresa,0,,
Buenos días deseso saber como calcular la. Liquidación por. Motivo de despido intempestivo,,Renuncia/Despido/Desahucio,persona,0,,
Buenos dias disculpa una pregunta cuando se puede hacer un desaucio?,,Renuncia/Despido/Desahucio,,,,
Buenos días disculpe pero podría ayudar con un número de contacto porfavor,,Contacto,,,,
Buenos dias disculpe si la renuncia es por desahucio cuanto tenria que recibir si tengo un sueldo de 400 y a la vez me unifican los decimos es decir 450 mas 3 dias de vacaciones ?,,Renuncia/Despido/Desahucio,,,,
buenos días el ministerio de trabajo cual seria el requisito para acceder a una jubilación ,,Jubilacion Patronal,,,,
buenos días el ministerio de trabajo cual seria el requisito para acceder a una jubilación patronales,,Jubilacion Patronal,,,,
buenos días estimada,,Greeting,,,,
Buenos dias estimados,,Greeting,,,,
"Buenos días estimados Actuaria.
Por favor podrían ayudarme con una cotización para la elaboración del estudio actuarial del año 2017
La cotización favor enviar al correo contahatari1@eljurihatari.com
La empresa cuenta con 40 empleados",,Jubilacion Patronal,,,,
"Buenos dias Estimados; mi pregunta es cuales son los pasos para tramitar la jubilación de invalidez; porque ya se realizo la solicitud por medio de la pagina del iess, ya se le realizaron los exámenes médicos en el hospital de ceibos se nos entregaron 2 informes de medicos tratantes… y nose que mas paso proceder… le agradeceria me ayude",,IESS,,,,
buenos dias la semana pasada envié solicitud de cotizacion para unos servicios de calculo por jubilaciòn aún no me ha llegado nada será posible que me envíen ??,,Jubilacion Patronal,empresa,NP,,
buenos dias me podria ayudar aclarando la Jubilacion Patronal si me paga la empresa o el Iees,,IESS,,,,ambivalente
buenos dias me podria ayudar aclarando la Jubilacion Patronal si me paga la empresa o el Iees,,Jubilacion Patronal,,,,ambivalente
"BUENOS DIAS ME PUEDE AYUDAR CON LOS NUMEROS DE CONTACTO 
EN QUITO 
POR FAVO 
FAVOR",,Contacto,,,,
buenos dias me pueden ayudar calculando el valor a pagar de un empleado que se le realice un despido intempestivo,,Renuncia/Despido/Desahucio,persona,0,,
Buenos dias me pueden ayudar con el numero de telefono de guayaquil,,Contacto,,0,,
"Buenos días me pueden confirmar los números para llamar a las oficinas de quito 
Los números que tienen suenan fuera de servicio ",,Contacto,,,,
"buenos días mi nombre es Leira, me gustaría saber si ustedes pueden agendar una cita para mí para la próxima semana, necesito consultar un problema de índole laboral que se me presentó hace algún tiempo.",,Renuncia/Despido/Desahucio,,,,
Buenos dias mi nombre es Roberto Valdez de la empresa ACTUARIA CONSULTORES,,Greeting,,,,
Buenos dìas necesito servicios de provisiòn de jubilaciòn del personal,"Buenos días 
me ayuda con los siguientes datos por favor: ruc, nombre empresa, contacto, cargo, correo y teléfonos ",Jubilacion Patronal,empresa,0,,
Buenos días nuestros patrones quieren cerrar la empresa pero nos dicen q pongamos la renuncia conde el valor del despido intempestiva enque nos perjudica o xq hacen eso,,Renuncia/Despido/Desahucio,persona,0,,
Buenos dias podría informarme si hay alguna especialidad q ustedes otorguen para tener conocimientos de actuaría. Y poder desempeñarme en un cargo. Son ingeniera financiera. ,,Charlas/Capacitaciones,persona,0,,
Buenos dias por favor el día de ayer solicite me ayuden con una cotizacion del servicio del calculo actuarial envie los datos que me solicitaron y hasta el momento no tengo respuesta,,Jubilacion Patronal,empresa,0,,
"Buenos dias por favor me puede indicar un correo
para que me ayuden con la cotizacion de un estudio actuarial _",,Jubilacion Patronal,,,,
BUENOS DIAS POR FAVOR ME PUEDEN AYUDAR CON UN CORREO ELECTRÓNICO PARA ENVIARLES UNA RETENCION,,Contacto,empresa,0,,
Buenos días por favor si me puede ayudar ya reuno los requisitos para mi jubilación me podría indicar cual es la pension aproximada que me saldría ? ,,Jubilacion Patronal,persona,0,,
buenos dias queria realizar una consulta.,,Greeting,,,,
Buenos días queria ver si me pueden ayudar calculando cuanto le pagaría el seguro mensualmente si mi papi se jubilara.,,IESS,,,,ambivalente
Buenos días queria ver si me pueden ayudar calculando cuanto le pagaría el seguro mensualmente si mi papi se jubilara.,,Jubilacion Patronal,,,,ambivalente
buenos dias quisiera realizar una consulta,,Greeting,,,,
Buenos días quisiera saber si debo renunciar para poder jubilarme o como se debe hacer,,Jubilacion Patronal,,,,ambivalente
Buenos días quisiera saber si debo renunciar para poder jubilarme o como se debe hacer,,Renuncia/Despido/Desahucio,,,,ambivalente
"Buenos días soy un empleado público con 54 años de edad y 29 años de servicio en mi institución, me podrían por favor indicar si puedo jubilarme y cuanto recibiria mensualmente. Gracias",,IESS,,,,
Buenos dias tengo dudas en cuanto a los servicios que brindan en su pagina web.  En asesoría financiera,,Otros servicios,,,,
Buenos dias tengo dudas en cuanto a los servicios que brindan en su pagina web. agradezco si me pueden llamar,,Contacto,,,,
buenos dias un favor deseo saber en caso de despido el valor de  la  jubilacion patronal yo tengo 22 años en la  institucion y mencionan tengo parte proporcional de la patronal me puede ayudar,,Jubilacion Patronal,persona,0,,ambivalente
buenos dias un favor deseo saber en caso de despido el valor de  la  jubilacion patronal yo tengo 22 años en la  institucion y mencionan tengo parte proporcional de la patronal me puede ayudar,,Renuncia/Despido/Desahucio,persona,0,,ambivalente
Buenos dias una consulta ingrese la jubilacion de mi papa pero en estado de la solicitud sigue en suspenso que significa,,IESS,,,,ambivalente
Buenos dias una consulta ingrese la jubilacion de mi papa pero en estado de la solicitud sigue en suspenso que significa,,Jubilacion Patronal,persona,0,,ambivalente
"buenos días una consulta la jubilacion patronal que porcentaje paga el empleador
o todo paga el empleador",,Jubilacion Patronal,,,,
Buenos días una consulta mi contrato que tenia era por losep y ya me despidieron a los 3 años cumplido hasta me mandaron de vacasiones para no pagarlas  en ese tiempo cuanto es o cuanto seria lo q me toca,,Renuncia/Despido/Desahucio,,,,
BUENOS DIAS una pregunta sobre la jubilación patronal no estoy muy clara ejemplo  despues de haber cumplido 20 y un mes tiene derecho a un proporcional de la jubilacion patronal??,,Jubilacion Patronal,persona,0,,
"buenos días voy a renunciar a mi trabajo que es mas conveniente renunciar en el ministerio o aqui mismo
como debo saber cual va a ser mi liquidacion",,Renuncia/Despido/Desahucio,,,,
Buenos dias xfavor si me puede ayudar cpn una consultita gracias,,Greeting,,,,
BUENOS DIAS ,,Greeting,,0,,
"Buenos días
Favor su ayuda
Tengo 450 aportaciones al IESS, pero solo tengo 59 años de edad.. puedo optar por mi jubilación por vejez????… tengo derecho a la patronal (35 años) si me jubilo antes de los 60 años?… gracias por su ayuda",,IESS,,,,
"BUENOS DIAS
LOS NUMEROS TELEFONICOS
DE USTEDES",,Contacto,,,,
"buenos dias
podria ayudar con un contacto para llamar",,Contacto,,,,
"Buenos días
quisiera hacer una consulta
soy Jorge Luis",,Greeting,,,,
"Buenos dias
Quisiera q me ayude con un ejemplo de desahucio
X favor",,Renuncia/Despido/Desahucio,,,,
"Buenos dias
Soy extranjero domiciliado en ecuador, con visa temporal, pero a veces viajo a mi pais a laborar y regreso de nuevo, la pregunta es ¿puedo hacer aportes a mi pension unicamente por pension es decir no por salud, ya que la salud me la brindan en mi pais cuando estoy alla y obviamente cuando regreso aca a ecuador la haria por la totalidad.?
Gracias",,IESS,,,,
"Buenos días, cuánto tiempo se demora el empleador entregar el cálculo global de la jubilación patronal al trabajador realizándolo por medio de su compañía, gracias por su atención",,Jubilacion Patronal,,,,
"buenos días, disculpe respecto al seguro de invalidez, cual es el tramite para que le declaren invalido, le comento mi caso hay  señora que es sordo mudo y siempre esta enferma tiene problemas psicológicos y siempre falta y esta enferma siempre por otras causas. la puede declarar el IESS con invalidez?",,IESS,,,,
"Buenos días, estimada Srta. Daniela, de parte de quienes hacemos la Unidad Educativa Bilingüe de La Inmaculada de la ciudad de Guayaquil.  Solicitamos se realice a la Institución un estudio actuarial del año 2018.  Favor contactarse al telef 042 440300 ext 13 con Mgs. Jenny Mite, soy la Contadora de la Institución.  GRACIAS MIL.",,Jubilacion Patronal,,,,
"Buenos días, estoy leyendo que a partir del año 2018 se elimino la posibilidad de que las reservas de jubilación patronal y desahucia sean deducibles, y solamente desde el año 2018 lo vamos a tomar en cuenta, porque?",,Jubilacion Patronal,persona,0,,ambivalente
"Buenos días, estoy leyendo que a partir del año 2018 se elimino la posibilidad de que las reservas de jubilación patronal y desahucia sean deducibles, y solamente desde el año 2018 lo vamos a tomar en cuenta, porque?",,Renuncia/Despido/Desahucio,,,,ambivalente
"Buenos Dias, favor necesito un estudio actuarial para nuestra empresa que se compone de 40 empleados aporx.","Buenas tardes 
con mucho gusto, me ayuda con los siguientes datos por favor: Ruc, nombre empresa, contacto, cargo, correo y teléfonos, gracias",Jubilacion Patronal,empresa,0,,
"Buenos dias, me podria ayudar con el Ruc de su empresa ;ya que ustedes me enviaron una propuesta pero no aparece el Ruc",,Facturacion/Retencion/Cobros,,,,
"Buenos días, me pueden dar por favor los números de teléfono de las oficinas en Guayaquil",,Contacto,,,,
"Buenos días, mi consulta es la siguiente, puedo solicitar la jubilación patronal si trabaje para la empresa sin relación de dependencia, yo entrego facturas de servicios profesionales, saludos",,Jubilacion Patronal,,,,
"Buenos días, mi nombre es Andrea Paredes de la corporación Ensab, no se si ustedes me puedan ayudar con una cotización para la realización del estudio actuarial de la empresa",,Jubilacion Patronal,,,,
"Buenos días, necesito información sobre un estudio actuarial para empleados",,Jubilacion Patronal,,,,
"Buenos dias, Necesito que me ayuden  como realizar mla proyeccion de jubilación del iess con el nuevo calculo una persona que tiene menos de 40 aportaciones",,IESS,persona,0,,
"Buenos dìas, necesito servicios de provisiòn de jubilaciòn del personal","Buenos días, me ayuda con los siguientes datos por favor: ruc, nombre empresa, contacto, cargo, correo y teléfonos",Jubilacion Patronal,empresa,0,,
"buenos dias, por favor me podria explicar que significa  etado suspenso una vez que solicite mi jubilación. gracias",,IESS,persona,0,,ambivalente
"buenos dias, por favor me podria explicar que significa  etado suspenso una vez que solicite mi jubilación. gracias",,Jubilacion Patronal,persona,0,,ambivalente
"Buenos días, queria cotizar un Estudio actuarial por primera vez para el cierre de este 2018. Que información requieren para poder hacerme una cotizacion.",,Jubilacion Patronal,,,,
"Buenos dias, tengan la bondad de ayudarme con la siguiente consulta. tengo 39 años de aportaciones y 55 años de edad, en razon que me retiro de la empresa, quiero aportar voluntariamente el año que falta, y completer los 40 años de aportaciones. para que no me afecte el monto de la jubilacion con el Nuevo calculo, ¿cuanto debo aportar mensualmente?.

Ademas ayudenme indicando con un ejemplo la forma de calcular la raiz sesentaba.

Gracias.

Saludos cordials.",,IESS,,,,
"Buenos días, tengo una consulta, actualmente tengo un trabajo ya por 6 años en el cual estoy afiliado a 2 empresas simultáneamente, mi sueldo total se reparte en estas dos empresas, para la jubilación de el IESS se tomaría en cuenta el sueldo total que deriva dos aportaciones o solo el valor de la aportación individual ya que la legislación habla de las 60 mejores aportaciones pero yo hago dos aportaciones por mes.
Gracias por su atención.",,IESS,,,,
"Buenos días, tengo una consulta, actualmente tengo un trabajo ya por 6 años en el cual estoy afiliado a 2 empresas simultáneamente, mi sueldo total se reparte en estas dos empresas, para la jubilación se tomaría en cuenta el sueldo total que deriva dos aportaciones o solo el valor de la aportación individual ya que la legislación habla de las 60 mejores aportaciones pero yo hago dos aportaciones por mes.
Gracias por su atención.",,IESS,,,,ambivalente
"Buenos días, tengo una consulta, actualmente tengo un trabajo ya por 6 años en el cual estoy afiliado a 2 empresas simultáneamente, mi sueldo total se reparte en estas dos empresas, para la jubilación se tomaría en cuenta el sueldo total que deriva dos aportaciones o solo el valor de la aportación individual ya que la legislación habla de las 60 mejores aportaciones pero yo hago dos aportaciones por mes.
Gracias por su atención.",,Jubilacion Patronal,,,,ambivalente
"Buenos días,

 Me gustaría que me informaran cómo, siendo portugués, estando actualmente en Portugal y después de haber trabajado y hecho descuentos para el IESS durante 17 años en el Ecuador, cuando llegue a los 65 años de edad, puedo, bajo el convenio de la “organización iberoamericana de seguridad social” (OISS), a la que el Ecuador y Portugal pertenecen, hacer la solicitud de jubilación por vejez por los años trabajados en el Ecuador.
 
 Sin motivo para más agradezco la atención dispensada a esta mi petición,",,IESS,,,,
"Buenos días.
Cuando un contrato es indefinido pero ya he trabajado 25 años para la empresa y quiero sacar la jubilación por vejez ¿cómo debo finiquitar el contrato?",,IESS,,,,
"Buenos días.
Cuando un contrato es indefinido pero ya he trabajado 25 años para la empresa y quiero sacar la jubilación por vejez ¿cómo debo finiquitar el contrato?",,Jubilacion Patronal,,,,ambivalente
"Buenos días.
Cuando un contrato es indefinido pero ya he trabajado 25 años para la empresa y quiero sacar la jubilación por vejez ¿cómo debo finiquitar el contrato?",,Renuncia/Despido/Desahucio,,,,ambivalente
"Buenos días... Estimada Daniela le saludos de la Fundación Cuesta Holguin, hace un mes nos ayudaron con el estudio Actuarial de nuestra Fundación..","el nombre de su consultor es Paola Toaquiza, su extensión 520 y correo: paola.toaquiza@actuaria.com.ec",Jubilacion Patronal,empresa,0,,
"Buenos dias.en el mes de Septiembre cumplo 69 años de edad,tengo 124 imposiciones aportadas al IESS.con esto me podre jubilar por vejez.un consejo por favor.",,IESS,,,,
"Buenos días:
Felicitaciones por su apoyo a la comunidad. Mi caso es que tengo 65 años con 21 años de aportaciones. Cual sería el monto de la pensión del iess. Y si continúo laborando hasta los setenta si Dios lo permite, cuanto sería la pensión a esa fecha aproximadamente. He revisado en la pagina del iess y no puedo obtener información. Gracias por su ayuda.",,IESS,,,,
buenos tardes,,Greeting,,,,
"bunas tardes 
no entiendo como es la raiz sesentava",,IESS,,,,
calculo de reservas de riesgo,,Consultoria,,,,
carro,,No Topic,,,,
casa carro,,No Topic,,,,
Clima Laboral,,Consultoria,,,,
"Como bien se comentan el ambiente laboral requiere de una capacitación detallada para
la correcta ejecución de las técnicas expuestas. ",,Charlas/Capacitaciones,,,,
Como calculo la pensión la raiz sesentava de 7600..ayudeme,"Buenas tardes https://actuaria.com.ec/modificacion-en-el-calculo-de-pensiones-del-iees/ en esa url encontrará un articulo, donde explica el cálculo",IESS,persona,0,,
"como calculo la provision para desahucio y provision jubilacio
cual es el porcentaje",,Jubilacion Patronal,,,,ambivalente
"como calculo la provision para desahucio y provision jubilacio
cual es el porcentaje",,Renuncia/Despido/Desahucio,,,,ambivalente
Cómo calculo mi desahucios de 5 años,,Renuncia/Despido/Desahucio,,,,
Como esta,,Greeting,,,,
Como hago para querer cotizar ante el iess? Mi cédula es.de.condición extranjera,,IESS,persona,0,,
Como hago para saber cuanto es mi monto mensual de jubilacion? y mi fonde cesantia por favor,,IESS,,,,ambivalente
Como hago para saber cuanto es mi monto mensual de jubilacion? y mi fonde cesantia por favor,,Jubilacion Patronal,,,,ambivalente
Como hago para saber cuanto es mi monto mensual de jubilacion? y mi fonde cesantia por favor,,Renuncia/Despido/Desahucio,,,,ambivalente
COMO SACO LA RAIZ SESENTAVA,,IESS,persona,0,,
Con 14 años de trabajo en relación de dependencia se tiene derecho a jubilación patronal?,,Jubilacion Patronal,,,,
Con quien debo comunicarme o llamo directamente a las oficinas. Muchas gracias,,Contacto,,,,
"condiciones sanitarias y el clausulado para las notas técnicas individuales.

 

En cuanto al anexo de tarifa cero, únicamente se debe reemplazar el titular por ""Anexo Tarifa 0 (Cero) (Prestaciones de prevención primaria)

 ",,Consultoria,,,,
cons,,No Topic,,,,
Consulta cuanto me costaria un asesoramiento por un tramite en el iess como persona natural,,Renuncia/Despido/Desahucio,,,,
consultor asociado,,No Topic,,,,
consultoria de temas matematicos,,Consultoria,,,,
consultoria en maximizacion,,Consultoria,,,,
consultoria en optimizacion,,Consultoria,,,,
consultoria financiera,,Otros servicios,,,,
cotizacion,,No Topic,,,,
cual es el correo electronico de actuaria?,,Contacto,,,,
Cual es el mejor seguro para mi casa carro,,Consultoria,,,,
CUAL ES EL SUBSIDIO O AYUDA QUE EL IESS OTORGA A UN EMPLEADO QUE SE ENCUENTRA INCAPACITADO POR ENFERMEDAD NO PROFESIONAL ,,IESS,,,,
Cuál es la dirección de Actuaria?,,Contacto,,,,
Cuál es la dirección de la oficina en Guayaquil?,,Contacto,,,,
Cual es la formula de bonificación para desahucio?,,Renuncia/Despido/Desahucio,persona,0,,
cual es su correo,,Contacto,,,,
cual es su telefono......,,Contacto,,,,
Cuáles son los requisitos del IESS?,,IESS,,,,
cuando,,No Topic,,,,
cuando me entregan mi estudio actuarial?,,Jubilacion Patronal,,,,
cuanto cuesta un estudio de medicina prepagada?,,Consultoria,,,,
Cuanto cuesta un estudio de recursos humanos?,,Consultoria,,,,
Cuanto cuesta un estudio?,,No Topic,,,,
Cuánto cuesta una nota técnica?,,Consultoria,empresa,,,
cuanto es la inflacion medica para medicina prepagada? ,,Consultoria,,,,
cuanto falta para que este listo mi estudio,,Jubilacion Patronal,,,"se deriva a jub patronal, se podria revisar (otro topic)",
"cuanto seria mi liquidacion al jubilarme con 65 años y 362 aprtaciones de os cuales 360 son ininterrupidas en una institucion de Estado
mi sueldo es 1200 desde hace 6 años",,IESS,,,,
cuanto tiempo se demoran en una nota tecnica de medicina prepagada?,,Consultoria,,,,
Cundos años  me baltan para jubilarme,,IESS,,,,ambivalente
Cundos años  me baltan para jubilarme,,Jubilacion Patronal,,,,ambivalente
Cursos para el área de Capacitación y Formación,,Charlas/Capacitaciones,,,,
Dan Asesoría en Guayaquil y Quito? En dónde están ubicados en GYE?,,Contacto,,,,
dan capacitaciones?,,Charlas/Capacitaciones,,,,
Dan consultorias en asesoria financiera?,,Otros servicios,,,,
Dan el servicio de Capacitaciones presenciales? ,,Charlas/Capacitaciones,,,,
"Daniela, por favor ayudeme, estoy pidiendo asistencia para calculo de jubilaciones de OG DISTRIBUCIONES 
Pero al mail que envie no me ha llegado nada",,Jubilacion Patronal,empresa,NP,,
datos para la factura,,Facturacion/Retencion/Cobros,,,,
"David Subia R de plan auto CONECA le saluda, por favor quisiera saber si ustedes realizan evaluaciones 360",,Consultoria,,,,
"De los cuatros seguros manejados por la Seguridad Social, no cabe duda
que el Seguro de Invalidez, Vejez y Muerte y el de Salud, agrupa las prestaciones que representan la mayor concentración de recursos en el sistema y el mayor desafío colectivo",,IESS,,,,
DE QUE SE TRATA O QUE ES,,No Topic,,,,
deceo saber si puedo jubilarme com 68 inposiciones buenas tardes,,IESS,,,,
Deseo el cálculo por desausio,,Renuncia/Despido/Desahucio,,,,
Deseo hacer una consulta si me lo permite,,No Topic,,,,
Deseo Jubilarme soy empleado publico y cumplo los requisitos para jubilarme deseo saber si tengo derecho a recibir el bono  por jubilación de los 5 salarios mínimo por año de servicio pertenezco al código del trabajo y soy empleado público,,IESS,,,,
"DESPEJEME UNA DUDA 
MI NOMBRE ES JOE HIDALGO ",,No Topic,,,,
Desvinculación Laboral Voluntaria,,Renuncia/Despido/Desahucio,,,,
Detección de fraude y alertas tempranas,,Consultoria,,,,
"Diagnóstico de clima laboral, permite medir las sensaciones de bienestar o de eventual malestar que experimentan los colaboradores",,Consultoria,,,,
Dirección en guayaquil,,Contacto,,,,
Disculpa buenas tardes cuanto me cuentas el calculo de una jubilacion patronal por servicio domestico por 24 años de servicio,,Jubilacion Patronal,persona,0,,
Disculpa tengo que pagar una factura quería saber si podremos pagar por medio de transferencia,,Facturacion/Retencion/Cobros,,,,
Disculpa tengo que pagar una factura quería saber si podremos pagar por medio de transferencia ,,Facturacion/Retencion/Cobros,,,,
"disculpe a mi me llamaron
de este numero
2959505",,No Topic,,,,
disculpe cunto me cuesta un estudio actuaría para el 2019,,Jubilacion Patronal,,,,
"Disculpe me comunico de parte de Fundacion Fabian Jaramillo Davila, mi nombre es Valeria Garcia, le comento que debemos realizar un pago pero deseo confirmar el porcentaje de retención y el codigo el debemos realizar a su factura? me comunique telefonicamente pero no me contestaron. Gracias",,Facturacion/Retencion/Cobros,,,,
disculpe me podria asesorar para realizar un tramite de jubilacion del iess por favor,,IESS,,,,
"disculpe  me gustaria hacer una consulta para saber si puedo proceder a buscar ayuda.mi esposa   quedo embarazada   en periodo de carencia,.y la  compañia  solo quiere pagar las consultas  con el medico  a partir  del 5tomes. imponiendo ellos el medico",,Consultoria,persona,,,
"Disculpen
mi Nombre es Miguel Barrera
yo hacia antes los estudios actuariales con uds",,Jubilacion Patronal,,,,
Diseño e implementación de sistemas presupuestarios para el control de márgenes de utilidad de empresas o proyectos. ,,Otros servicios,,,,
Donde queda ACTUARIA?,,Contacto,persona,,,
Donde queda esta consultoria,,Contacto,,,,
Donde queda su oficina? La que es en quito,,Contacto,,,,
donde son sus oficinas?,,Contacto,,,,
DOS PALABRAS,,No Topic,,,,
"Ejemplo de Cuentos. El cuento es definido como una narración breve creada por uno o varios autores, basada en hechos reales o ficticios, cuya trama es protagonizada por un grupo reducido de personajes y con un argumento relativamente sencillos.",,No Topic,,,,
"El 13 de noviembre de 2015, el Consejo Directivo del IESS, mediante Resolución No. CD 501, estableció una reducción temporal en los aportes al Fondo de Pensiones del 9,74% al 5,86% y
un incremento en el aporte para salud del 5,71% al 9,94%. ",,IESS,,,,
"El 18 de noviembre de 2010 mediante Registro Oficial No. 323, se
publicó la reforma a la Ley de Seguridad Social, que en su artículo 5 establece que las pensiones de invalidez, vejez, incapacidad
permanente parcial, incapacidad permanente total e incapacidad
permanente absoluta, de riesgos del trabajo del IESS se incrementarán anualmente a partir del mes de enero de cada año, en base a
un coeficiente de crecimiento",,IESS,,,,
"El afiliado o afiliada que reúnen los requisitos exigidos por el IESS, tienen derecho a pensiones mensuales vitalicias, la mismas que se pagan a partir del primer día del mes siguiente al que el asegurado (a) cesó en el o los empleos. ",,IESS,,,,
El día De hoy me indicaron que las aportaciones para jubilarse subió no es 30 sino 40 años de aportación es correcto o no,,IESS,,,,ambivalente
El día De hoy me indicaron que las aportaciones para jubilarse subió no es 30 sino 40 años de aportación es correcto o no,,Jubilacion Patronal,,,,ambivalente
El IESS debe ser administrado por los jubilados.,,IESS,,,,
"El peor servicio ... Nos robaron dinero , cuando les mostramos que estaban equivocados, pero no nos pidieron disculpas ni reembolso nosotros ...
Todos los consejos que nos dieron  estaban mal ... ",,Queja,,,,
"el servicio eS terrible, comunicarse con ustedes fue imposible y su precio es muy caro",,Queja,,,,
"El simulacro de cálculo de pensión en la página del iess jubilación ordinaria de vejez es válida o no? Y si mis sueldos aportados durante diez años han sido el mismo 1680.20 cuál sería el valor de mi pensión con 60 años y 35 años de aportes, según el iess bajo la nueva fórmula sería siliar al cálculo anterior.",,IESS,,,,
"empezamos a contratar trabajadores desde el 2017
necesito saber si estoy obligado a realizar el estudio actuarial",,Jubilacion Patronal,,,,
en cuanto tiempo me entregan mi estudio actuarial?,,Jubilacion Patronal,,,,
EN EL CASO DE UNA PERSONA QUE LABORÓ 27 AÑOS EN RELACIÓN DE DEPENDENCIA Y LUEGO REALIZA APORTES VOLUNTARIOS SOBRE EL SUELDO BÁSICO; LE SERÍA DE UTILIDAD INCREMENTAR EL SUELDO A $1.000 (DURANTE ESTOS 3 ÚLTIMOS AÑOS QUE LE FALTAN PARA JUBILARSE DEL IESS) PARA PODER RECIBIR UN VALOR MÁS ALTO POR JUBILACIÓN.,,IESS,,,,
"En el IESS me dicen que llegue a las 180 imposiciones para obtener mas beneficio de pension
Que me recomienda?",,IESS,,,,
"En este contexto, el capital humano se refiere a las ventajas económicas que los empleados traen a una empresa en virtud de las de formación, experiencia y habilidades que poseen. La mayoría de las empresas buscan los servicios de una empresa de consultoría de recursos humanos en algún momento con el fin de ayudarles a darse cuenta de las ventajas competitivas que se pueden obtener mediante el aumento de su capital humano",,Consultoria,,,,
en la informacion habla sobre el grafico estadistico de los 10 preimeros seguros y no lo veo dnd lo podria cnseguir,,Consultoria,,,,
En qué casos y a quienes puede afectar dicho cálculo que es la media geométrica ? oriéntenme un poco /gracias …!!!,,IESS,,,,
En que consiste el Bussines Intelligence?,,Consultoria,,,,
En que consiste la Bonificación por Desahucio y Despido Intempestivo?,,Renuncia/Despido/Desahucio,,,,
En que consiste su producto de evaluacion 360?,,Consultoria,,,,
"en que forma, pregunto porque ando interesada en hacer facturacion por internet",,Facturacion/Retencion/Cobros,,,,
